,open,close,high,low,volume,money
2017-11-15,6576.2,6527.0,6592.0,6496.0,9863.0,12908401480.0
2017-11-16,6483.0,6506.8,6529.8,6472.2,7847.0,10214301600.0
2017-11-17,6515.0,6323.6,6519.8,6305.0,12036.0,15460511480.0
2017-11-20,6325.2,6389.6,6404.8,6220.0,12786.0,16126216520.0
2017-11-21,6389.2,6418.0,6444.6,6348.0,11744.0,15040302560.0
2017-11-22,6430.0,6375.2,6478.4,6342.4,11872.0,15229702120.0
2017-11-23,6385.2,6208.2,6398.8,6206.6,12836.0,16234442360.0
2017-11-24,6208.2,6227.0,6289.2,6200.0,11166.0,13947642400.0
2017-11-27,6242.8,6136.0,6263.2,6131.4,11442.0,14213294160.0
2017-11-28,6147.4,6262.4,6276.8,6147.4,11769.0,14653705400.0
2017-11-29,6255.0,6273.2,6320.0,6176.8,11922.0,14901519840.0
2017-11-30,6260.0,6200.0,6290.8,6190.8,10720.0,13396899200.0
2017-12-01,6218.8,6279.0,6324.2,6215.0,10660.0,13385232360.0
2017-12-04,6279.0,6233.8,6329.0,6217.6,10948.0,13722745520.0
2017-12-05,6226.4,6098.0,6247.8,6061.4,11557.0,14230961200.0
2017-12-06,6103.0,6132.0,6140.4,6026.0,13550.0,16505667920.0
2017-12-07,6129.0,6085.6,6169.8,6082.4,11733.0,14385564480.0
2017-12-08,6088.6,6174.0,6214.8,6088.6,11866.0,14642665480.0
2017-12-11,6198.2,6270.6,6273.0,6198.2,10107.0,12619978200.0
2017-12-12,6260.0,6226.8,6281.8,6217.2,10533.0,13174890400.0
2017-12-13,6233.0,6273.8,6274.6,6201.6,10388.0,12968929800.0
2017-12-14,6278.0,6284.0,6295.8,6236.0,8162.0,10230147680.0
2017-12-15,6259.0,6207.0,6260.2,6145.8,11334.0,14055971200.0
2017-12-18,6216.0,6161.8,6227.6,6135.2,9672.0,11954089600.0
2017-12-19,6177.6,6234.0,6246.6,6170.6,9895.0,12311106440.0
2017-12-20,6230.4,6158.4,6238.6,6150.0,9779.0,12092909600.0
2017-12-21,6160.0,6227.0,6269.0,6107.2,12255.0,15191594120.0
2017-12-22,6234.0,6243.2,6276.6,6223.2,7802.0,9749003080.0
2017-12-25,6245.4,6162.0,6265.6,6142.6,9515.0,11778046000.0
2017-12-26,6163.0,6219.4,6234.6,6132.2,9924.0,12274172520.0
